timestamp,worker_id,zone,temperature_c,humidity_pct,tilt_deg,acceleration_g,work_duration_min,movement,helmet,harness,waterlogging,event,risk_score
2026-07-18 08:00:00,TN-CW-001,Excavation,31.3,58.5,2.7,1.32,10,normal,yes,yes,no,normal,11.7
2026-07-18 08:15:00,TN-CW-009,Excavation,32.4,59.7,0.4,0.95,13.8,normal,yes,yes,no,normal,11.4
2026-07-18 08:30:00,TN-CW-014,Excavation,30.9,62.0,6.5,0.95,32.4,normal,yes,yes,no,normal,10.6
2026-07-18 08:45:00,TN-CW-021,Scaffolding,33.2,58.1,8.4,1.04,49.9,normal,yes,yes,no,normal,16.7
2026-07-18 09:00:00,TN-CW-001,Scaffolding,32.6,59.9,10.2,1.22,53.5,normal,yes,yes,no,normal,15.0
2026-07-18 09:15:00,TN-CW-009,Scaffolding,33.6,77.5,6.6,1.38,73.1,normal,yes,yes,no,normal,20.6
2026-07-18 09:30:00,TN-CW-014,Concrete,34.2,72.1,2.7,1.0,82.7,normal,yes,yes,no,normal,16.6
2026-07-18 09:45:00,TN-CW-021,Concrete,33.9,60.0,7.6,1.06,101.4,normal,yes,yes,no,normal,22.0
2026-07-18 10:00:00,TN-CW-001,Concrete,34.3,63.3,7.8,1.23,127.0,normal,yes,yes,no,normal,25.4
2026-07-18 10:15:00,TN-CW-009,Materials,36.0,61.3,11.9,1.25,133.1,normal,yes,yes,no,normal,31.3
2026-07-18 10:30:00,TN-CW-014,Materials,36.4,74.9,2.7,0.82,154.4,normal,yes,yes,no,normal,33.6
2026-07-18 10:45:00,TN-CW-021,Materials,35.9,62.2,10.5,1.02,172.1,normal,yes,yes,no,normal,39.0
2026-07-18 11:00:00,TN-CW-001,Excavation,36.7,76.3,3.2,0.97,179.3,normal,yes,yes,no,normal,40.4
2026-07-18 11:15:00,TN-CW-009,Excavation,36.9,69.7,4.8,0.95,201.4,normal,yes,yes,no,normal,48.0
